,#,team,gp,w,l,win%,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,+/-,season
350,25,Sacramento Kings,82,24,58,0.293,48.4,99.4,38.2,85.1,44.9,5.2,15.6,33.5,17.7,24.2,73.4,13.1,30.8,43.9,20.4,16.1,7.4,4.8,5.7,22.0,21.0,-5.3,'10-11
351,27,Washington Wizards,82,23,59,0.28,48.6,97.3,37.2,84.0,44.3,4.8,14.4,33.2,18.2,24.4,74.5,12.4,29.0,41.3,19.4,15.3,8.1,6.1,5.0,22.6,20.3,-7.4,'10-11
352,28,Toronto Raptors,82,22,60,0.268,48.2,99.1,38.3,82.4,46.5,4.2,13.3,31.6,18.2,24.1,75.5,11.7,28.6,40.3,21.9,14.7,7.1,4.3,5.6,22.0,19.8,-6.3,'10-11
353,29,Cleveland Cavaliers,82,19,63,0.232,48.2,95.5,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21.0,14.2,6.6,4.2,6.0,20.1,21.3,-9.0,'10-11
354,30,Minnesota Timberwolves,82,17,65,0.207,48.2,101.1,37.7,85.5,44.1,7.2,19.1,37.6,18.5,24.1,76.8,13.2,31.2,44.4,20.1,17.0,7.2,5.1,5.5,22.3,20.9,-6.6,'10-11
355,1,Chicago Bulls,66,50,16,0.758,48.3,96.3,37.4,82.8,45.2,6.3,16.9,37.5,15.2,21.1,72.2,13.9,32.8,46.7,23.1,14.0,6.9,5.9,5.2,17.3,17.7,8.2,'11-12
356,1,San Antonio Spurs,66,50,16,0.758,48.3,103.7,39.6,82.8,47.8,8.4,21.3,39.3,16.2,21.6,74.8,10.3,32.6,43.0,23.2,13.6,7.4,4.4,5.0,17.3,18.8,7.2,'11-12
357,3,Oklahoma City Thunder,66,47,19,0.712,48.5,103.1,37.3,79.2,47.1,7.2,20.0,35.8,21.3,26.4,80.6,11.0,32.7,43.7,18.5,16.3,7.5,8.2,4.9,20.5,20.0,6.1,'11-12
358,4,Miami Heat,66,46,20,0.697,48.6,98.5,37.1,79.0,46.9,5.6,15.6,35.9,18.8,24.2,77.5,10.4,31.2,41.6,20.0,15.2,8.9,5.4,4.2,19.4,20.5,6.0,'11-12
359,5,Indiana Pacers,66,42,24,0.636,48.5,97.7,35.7,81.4,43.8,5.9,16.1,36.8,20.4,26.1,78.2,12.5,31.4,43.9,18.6,14.0,7.9,5.4,6.0,21.7,21.6,3.3,'11-12
360,6,Los Angeles Lakers,66,41,25,0.621,48.7,97.3,36.8,80.6,45.7,5.5,16.8,32.6,18.2,24.1,75.6,12.1,34.1,46.2,22.5,15.1,5.9,5.3,4.6,16.8,20.2,1.4,'11-12
361,6,Memphis Grizzlies,66,41,25,0.621,48.3,95.0,36.7,82.2,44.7,4.2,12.9,32.6,17.3,22.8,75.9,12.6,29.5,42.0,19.5,14.5,9.6,5.2,5.5,19.9,19.3,2.0,'11-12
362,8,Atlanta Hawks,66,40,26,0.606,49.0,96.6,36.8,81.0,45.4,7.5,20.2,37.0,15.5,21.0,74.0,9.9,31.3,41.2,22.4,14.0,8.1,4.6,4.7,17.8,19.1,3.4,'11-12
363,8,Los Angeles Clippers,66,40,26,0.606,48.4,97.5,37.0,81.3,45.5,7.8,21.8,35.7,15.8,23.3,68.0,12.1,29.4,41.6,21.0,13.3,8.4,4.8,4.5,21.2,21.2,2.6,'11-12
364,10,Boston Celtics,66,39,27,0.591,48.3,91.8,35.5,77.1,46.0,5.5,15.0,36.7,15.4,19.8,77.8,7.7,31.1,38.8,23.6,14.8,7.5,5.5,4.6,19.9,18.4,2.5,'11-12
365,11,Denver Nuggets,66,38,28,0.576,48.6,104.1,39.0,81.9,47.6,6.6,19.9,33.2,19.6,26.7,73.5,11.2,31.9,43.1,24.0,15.4,8.2,5.0,6.7,19.7,22.0,2.9,'11-12
366,12,Orlando Magic,66,37,29,0.561,48.4,94.2,34.5,78.2,44.1,10.2,27.0,37.5,15.1,22.8,66.0,11.2,31.2,42.5,20.0,14.9,6.8,4.2,4.1,17.7,19.8,0.8,'11-12
367,13,Dallas Mavericks,66,36,30,0.545,48.7,95.8,36.3,82.0,44.3,7.5,22.2,33.9,15.6,20.2,77.1,10.1,32.7,42.8,20.9,14.0,8.6,5.1,4.0,18.6,18.4,1.0,'11-12
368,13,New York Knicks,66,36,30,0.545,48.3,97.8,35.8,80.8,44.3,7.8,23.3,33.6,18.3,24.8,74.1,11.3,30.5,41.7,20.1,16.0,9.4,4.2,5.1,21.1,21.8,3.2,'11-12
369,13,Utah Jazz,66,36,30,0.545,49.0,99.7,38.2,83.8,45.6,4.1,12.8,32.3,19.1,25.3,75.4,13.0,31.1,44.2,21.8,14.2,8.3,5.8,5.7,21.8,20.7,0.6,'11-12
370,16,Philadelphia 76ers,66,35,31,0.53,48.2,93.6,37.4,83.6,44.8,5.3,14.6,36.2,13.5,18.2,74.2,10.7,32.5,43.2,22.0,11.2,8.0,5.2,4.8,17.5,16.2,4.2,'11-12
371,17,Houston Rockets,66,34,32,0.515,48.7,98.1,37.7,84.0,44.9,7.2,20.2,35.9,15.4,19.7,78.2,11.7,30.5,42.2,21.3,14.5,7.5,4.8,5.2,20.4,18.4,0.2,'11-12
372,18,Phoenix Suns,66,33,33,0.5,48.0,98.4,37.8,82.5,45.8,6.7,19.6,34.3,16.0,21.2,75.7,10.9,30.8,41.7,22.5,14.1,6.5,5.5,4.4,18.7,19.6,-0.2,'11-12
373,19,Milwaukee Bucks,66,31,35,0.47,48.1,99.0,37.9,85.6,44.3,6.6,19.2,34.5,16.6,21.4,77.4,12.4,30.0,42.5,23.5,14.1,8.3,5.1,4.5,19.3,19.4,0.3,'11-12
374,20,Portland Trail Blazers,66,28,38,0.424,48.4,97.2,36.4,82.1,44.3,7.2,20.9,34.6,17.2,21.6,79.6,11.1,29.5,40.7,20.4,14.2,8.0,4.9,4.8,19.0,19.8,-0.6,'11-12
375,21,Minnesota Timberwolves,66,26,40,0.394,48.3,97.9,35.7,82.3,43.3,7.2,21.6,33.2,19.4,25.2,77.1,12.1,31.7,43.7,19.5,15.2,6.6,4.4,5.7,18.4,21.7,-2.2,'11-12
376,22,Detroit Pistons,66,25,41,0.379,48.4,90.9,34.7,79.3,43.8,4.8,13.9,34.6,16.6,22.1,75.2,11.7,28.5,40.3,18.7,15.7,7.0,4.2,5.3,19.6,19.4,-4.8,'11-12
377,23,Golden State Warriors,66,23,43,0.348,48.2,97.8,37.7,82.5,45.7,7.9,20.5,38.8,14.4,18.7,77.0,9.7,29.5,39.2,22.3,13.9,8.0,5.5,5.0,21.4,16.6,-3.4,'11-12
378,23,Toronto Raptors,66,23,43,0.348,48.4,90.7,34.4,78.1,44.0,5.5,16.3,34.0,16.4,21.4,77.0,10.6,31.4,42.0,20.9,15.2,6.5,4.9,4.9,23.2,18.4,-3.3,'11-12
379,25,New Jersey Nets,66,22,44,0.333,48.2,93.1,34.3,80.6,42.5,7.7,22.4,34.2,16.9,21.7,77.7,11.9,28.5,40.3,19.9,15.1,7.5,3.9,5.0,19.2,19.3,-6.0,'11-12
380,25,Sacramento Kings,66,22,44,0.333,48.2,98.8,37.7,86.5,43.6,6.2,19.7,31.6,17.1,23.2,73.6,13.4,29.5,42.9,19.3,14.4,8.5,4.9,6.4,19.5,19.9,-5.7,'11-12
381,27,Cleveland Cavaliers,66,21,45,0.318,48.4,93.0,34.3,81.2,42.2,6.7,19.3,34.6,17.8,24.9,71.6,12.7,29.5,42.3,19.8,15.4,7.1,4.0,6.2,20.0,20.9,-7.2,'11-12
382,27,New Orleans Hornets,66,21,45,0.318,48.3,89.6,34.8,77.3,45.1,3.9,11.8,33.3,16.0,21.2,75.7,11.0,30.2,41.1,20.7,15.5,7.4,4.8,5.8,20.1,18.7,-3.8,'11-12
383,29,Washington Wizards,66,20,46,0.303,48.1,93.6,36.6,83.0,44.1,5.2,16.3,32.0,15.3,21.0,72.7,11.7,29.9,41.7,19.1,15.3,8.0,6.3,4.5,21.3,18.7,-4.8,'11-12
384,30,Charlotte Bobcats,66,7,59,0.106,48.2,87.0,33.2,80.2,41.4,4.0,13.5,29.5,16.5,22.2,74.6,10.3,28.7,39.0,20.1,14.5,6.0,5.5,5.7,18.9,20.3,-13.9,'11-12
385,1,Miami Heat,82,66,16,0.805,48.5,102.9,38.4,77.4,49.6,8.7,22.1,39.6,17.4,23.0,75.4,8.2,30.4,38.6,23.0,13.9,8.7,5.4,3.2,18.7,20.4,7.9,'12-13
386,2,Oklahoma City Thunder,82,60,22,0.732,48.4,105.7,38.1,79.3,48.1,7.3,19.4,37.7,22.2,26.8,82.8,10.4,33.2,43.6,21.4,15.3,8.3,7.6,3.9,20.2,20.7,9.2,'12-13
387,3,San Antonio Spurs,82,58,24,0.707,48.5,103.0,39.1,81.4,48.1,8.1,21.5,37.6,16.6,21.0,79.1,8.1,33.2,41.3,25.1,14.7,8.5,5.4,4.9,17.4,19.1,6.4,'12-13
388,4,Denver Nuggets,82,57,25,0.695,48.5,106.1,40.7,85.2,47.8,6.4,18.5,34.3,18.4,26.2,70.1,13.3,31.7,45.0,24.4,15.3,9.3,6.5,6.8,20.5,21.6,5.1,'12-13
389,5,Los Angeles Clippers,82,56,26,0.683,48.1,101.1,38.5,80.6,47.8,7.6,21.4,35.8,16.4,23.0,71.1,11.4,30.2,41.6,23.9,14.6,9.6,5.6,4.1,20.9,20.9,6.5,'12-13
390,5,Memphis Grizzlies,82,56,26,0.683,48.3,93.4,36.1,81.5,44.4,4.7,13.5,34.5,16.5,21.3,77.3,12.9,29.8,42.7,20.9,14.0,8.6,5.3,5.5,20.2,20.0,4.1,'12-13
391,7,New York Knicks,82,54,28,0.659,48.1,100.0,36.5,81.6,44.8,10.9,28.9,37.6,16.0,21.1,75.9,10.9,29.7,40.6,19.3,12.0,8.2,3.6,4.0,20.1,19.2,4.2,'12-13
392,8,Indiana Pacers,81,49,32,0.605,48.4,94.7,35.1,80.6,43.6,6.9,19.7,34.7,17.6,23.6,74.6,12.9,33.0,45.9,20.3,15.1,7.2,6.3,5.7,20.0,21.9,4.0,'12-13
393,9,Brooklyn Nets,82,49,33,0.598,48.4,96.9,35.9,79.8,45.0,7.7,21.5,35.7,17.5,23.9,73.1,12.8,30.0,42.8,20.3,14.7,7.3,4.8,4.8,18.3,21.4,1.8,'12-13
394,10,Golden State Warriors,82,47,35,0.573,48.3,101.2,38.2,83.4,45.8,8.0,19.9,40.3,16.8,21.3,79.0,10.8,34.2,45.0,22.5,15.1,6.9,4.2,4.9,21.4,19.2,0.9,'12-13
395,11,Chicago Bulls,82,45,37,0.549,48.4,93.2,35.7,81.7,43.7,5.4,15.4,35.3,16.4,21.2,77.3,12.5,30.7,43.2,23.0,14.3,7.2,5.1,5.8,19.7,19.6,0.3,'12-13
396,11,Houston Rockets,82,45,37,0.549,48.2,106.0,38.1,82.7,46.1,10.6,28.9,36.6,19.2,25.5,75.4,11.1,32.3,43.4,23.2,16.4,8.3,4.4,6.1,20.3,20.4,3.5,'12-13
397,11,Los Angeles Lakers,82,45,37,0.549,48.2,102.2,37.1,81.0,45.8,8.7,24.6,35.5,19.3,27.9,69.2,11.5,33.3,44.8,22.2,15.0,7.0,5.2,4.8,17.9,23.1,1.2,'12-13
398,14,Atlanta Hawks,82,44,38,0.537,48.4,98.0,37.6,81.0,46.4,8.6,23.2,37.1,14.1,19.7,71.5,9.2,31.6,40.9,24.5,14.9,8.1,4.5,4.3,18.0,18.8,0.4,'12-13
399,15,Utah Jazz,82,43,39,0.524,48.5,98.0,37.1,81.8,45.4,6.2,16.9,36.6,17.5,23.0,76.4,12.1,30.0,42.0,22.7,14.8,8.4,6.3,5.9,21.3,20.4,-0.1,'12-13
400,16,Boston Celtics,81,41,40,0.506,49.0,96.5,37.0,79.7,46.5,6.1,17.2,35.8,16.3,21.0,77.6,8.1,31.3,39.3,22.8,14.6,8.2,4.5,4.7,21.2,19.4,-0.2,'12-13
401,17,Dallas Mavericks,82,41,41,0.5,48.7,101.1,38.8,84.0,46.2,7.4,19.9,37.2,16.1,20.4,79.3,9.4,32.6,41.9,23.2,14.0,7.9,5.5,4.1,20.7,18.9,-0.6,'12-13
402,18,Milwaukee Bucks,82,38,44,0.463,48.4,98.9,38.1,87.8,43.5,7.3,20.4,36.0,15.3,20.7,73.6,13.0,30.9,44.0,22.9,14.1,8.4,6.7,4.4,19.0,19.1,-1.5,'12-13
403,19,Philadelphia 76ers,82,34,48,0.415,48.2,93.2,37.3,84.1,44.4,6.3,17.5,36.0,12.2,16.8,72.9,10.9,30.4,41.3,22.8,13.0,7.4,4.7,4.8,18.4,16.2,-3.3,'12-13
404,19,Toronto Raptors,82,34,48,0.415,48.7,97.2,36.3,81.5,44.6,7.0,20.3,34.3,17.6,22.3,78.8,10.6,29.6,40.2,21.5,13.7,7.3,4.8,4.7,22.4,20.1,-1.5,'12-13
405,21,Portland Trail Blazers,82,33,49,0.402,48.4,97.5,36.7,81.9,44.8,8.2,23.2,35.3,15.9,20.5,77.6,10.7,30.2,40.8,21.8,14.7,6.6,4.3,4.4,18.5,18.7,-3.2,'12-13
406,22,Minnesota Timberwolves,82,31,51,0.378,48.1,95.7,35.9,81.7,43.9,5.5,18.0,30.5,18.5,24.9,74.2,11.9,30.2,42.0,22.4,14.8,8.5,4.7,5.9,18.4,22.5,-2.4,'12-13
407,23,Detroit Pistons,82,29,53,0.354,48.3,94.9,36.3,81.0,44.9,6.3,17.6,35.6,15.9,22.8,69.9,12.1,30.0,42.1,21.2,15.1,7.0,4.9,5.8,19.8,19.9,-4.0,'12-13
408,23,Washington Wizards,82,29,53,0.354,48.4,93.2,35.5,81.6,43.5,6.6,18.2,36.5,15.6,21.3,73.3,10.8,32.3,43.2,21.6,15.1,7.3,4.6,4.4,20.5,19.1,-2.5,'12-13
409,25,Sacramento Kings,82,28,54,0.341,48.4,100.2,37.6,84.2,44.7,7.4,20.5,36.3,17.5,22.8,76.9,11.5,29.1,40.6,20.8,14.6,8.2,4.2,6.3,20.9,20.0,-4.9,'12-13
410,26,New Orleans Hornets,82,27,55,0.329,48.2,94.1,36.0,80.4,44.8,6.5,18.0,36.3,15.5,20.0,77.6,12.0,29.6,41.6,21.0,14.5,6.3,5.4,6.0,20.4,18.7,-3.9,'12-13
411,27,Phoenix Suns,82,25,57,0.305,48.3,95.2,37.3,84.4,44.3,5.9,17.7,33.0,14.7,19.7,74.4,11.7,29.9,41.6,22.6,15.6,8.0,5.3,5.1,20.6,18.4,-6.5,'12-13
412,28,Cleveland Cavaliers,82,24,58,0.293,48.1,96.5,36.5,84.2,43.4,6.7,19.3,34.6,16.8,22.3,75.6,12.2,28.8,41.0,20.7,14.0,7.9,4.1,6.8,21.2,19.7,-4.7,'12-13
413,29,Charlotte Bobcats,82,21,61,0.256,48.3,93.4,34.4,81.1,42.5,5.7,17.1,33.5,18.9,25.1,75.0,11.2,29.1,40.3,19.4,14.1,7.2,5.8,6.9,19.0,21.3,-9.2,'12-13
414,30,Orlando Magic,82,20,62,0.244,48.2,94.1,37.7,84.2,44.8,6.2,18.7,32.9,12.5,16.6,75.5,10.9,31.9,42.7,22.8,14.5,6.4,4.4,5.2,19.4,16.5,-7.0,'12-13
415,1,San Antonio Spurs,82,62,20,0.756,48.2,105.4,40.6,83.5,48.6,8.5,21.4,39.7,15.7,20.0,78.5,9.3,34.0,43.3,25.2,14.4,7.4,5.1,4.6,18.2,19.3,7.7,'13-14
416,2,Oklahoma City Thunder,82,59,23,0.72,48.3,106.2,39.0,82.7,47.1,8.1,22.4,36.1,20.2,25.0,80.6,10.8,33.9,44.7,21.9,15.3,8.3,6.1,3.6,22.7,20.4,6.3,'13-14
417,3,Los Angeles Clippers,82,57,25,0.695,48.2,107.9,39.1,82.5,47.4,8.5,24.0,35.2,21.2,29.1,73.0,10.5,32.5,43.0,24.6,13.9,8.6,4.8,3.5,21.5,23.4,7.0,'13-14
418,4,Indiana Pacers,82,56,26,0.683,48.2,96.7,36.0,80.2,44.9,6.7,18.8,35.7,18.1,23.3,77.9,10.2,34.5,44.7,20.1,15.1,6.7,5.4,4.6,20.4,21.9,4.4,'13-14
419,5,Houston Rockets,82,54,28,0.659,48.4,107.7,38.0,80.5,47.2,9.5,26.6,35.8,22.1,31.1,71.2,11.2,34.1,45.3,21.4,16.1,7.6,5.6,5.6,20.4,24.3,4.6,'13-14
420,5,Miami Heat,82,54,28,0.659,48.5,102.2,38.3,76.5,50.1,8.1,22.3,36.4,17.5,23.0,76.0,7.6,29.2,36.9,22.5,14.8,8.9,4.5,3.1,19.5,20.4,4.8,'13-14
421,5,Portland Trail Blazers,82,54,28,0.659,48.4,106.7,39.1,87.0,45.0,9.4,25.3,37.2,19.1,23.5,81.5,12.5,34.0,46.4,23.2,13.7,5.5,4.7,3.7,19.2,20.7,4.0,'13-14
422,8,Golden State Warriors,82,51,31,0.622,48.4,104.3,39.5,85.4,46.2,9.4,24.8,38.0,15.9,21.1,75.3,10.9,34.4,45.3,23.3,15.2,7.8,5.0,4.2,21.8,19.3,4.8,'13-14
423,9,Memphis Grizzlies,82,50,32,0.61,48.3,96.1,38.1,82.0,46.4,4.9,14.0,35.3,15.1,20.3,74.1,11.6,30.8,42.4,21.9,13.7,7.7,4.6,5.0,19.1,18.9,1.6,'13-14
424,10,Dallas Mavericks,82,49,33,0.598,48.4,104.8,39.6,83.6,47.4,8.8,22.9,38.4,16.8,21.1,79.5,10.2,30.7,40.9,23.6,13.5,8.6,4.3,3.5,20.0,19.9,2.4,'13-14
425,11,Chicago Bulls,82,48,34,0.585,48.6,93.7,34.7,80.2,43.2,6.2,17.8,34.8,18.1,23.3,77.9,11.4,32.7,44.1,22.7,14.9,7.2,5.2,6.0,19.1,20.9,1.9,'13-14
426,11,Phoenix Suns,82,48,34,0.585,48.2,105.2,38.7,83.5,46.3,9.3,25.1,37.2,18.5,24.4,75.8,11.3,31.7,43.0,19.1,15.3,8.4,4.6,4.0,21.9,21.3,2.6,'13-14
427,11,Toronto Raptors,82,48,34,0.585,48.7,101.3,36.5,81.9,44.5,8.7,23.4,37.2,19.6,25.1,78.2,11.4,31.1,42.5,21.2,14.1,7.0,4.2,4.3,23.0,22.1,3.2,'13-14
428,14,Brooklyn Nets,82,44,38,0.537,48.5,98.5,35.7,77.9,45.9,8.6,23.4,36.9,18.4,24.4,75.3,8.8,29.4,38.1,20.9,14.5,8.6,3.8,4.1,21.7,20.8,-1.0,'13-14
429,14,Washington Wizards,82,44,38,0.537,48.9,100.7,38.7,84.4,45.9,7.9,20.8,38.0,15.3,20.9,73.1,10.8,31.4,42.2,23.3,14.7,8.1,4.6,3.9,20.4,19.5,1.3,'13-14
430,16,Charlotte Bobcats,82,43,39,0.524,48.5,96.9,36.3,82.1,44.2,6.3,17.9,35.1,18.0,24.4,73.7,9.5,33.2,42.7,21.7,12.3,6.1,5.1,5.1,18.2,20.9,-0.2,'13-14
431,17,Minnesota Timberwolves,82,40,42,0.488,48.4,106.9,38.9,87.5,44.4,7.3,21.4,34.1,21.8,28.1,77.8,12.5,32.2,44.7,23.9,13.9,8.8,3.6,5.6,18.3,23.6,2.7,'13-14
432,18,Atlanta Hawks,82,38,44,0.463,48.4,101.0,37.3,81.6,45.8,9.4,25.8,36.3,17.0,21.7,78.1,8.7,31.3,40.0,24.9,15.3,8.3,4.0,4.3,19.2,20.0,-0.5,'13-14
433,19,New York Knicks,82,37,45,0.451,48.4,98.6,36.9,82.2,44.9,9.3,24.9,37.2,15.5,20.4,76.1,10.6,29.7,40.3,20.0,13.0,7.7,4.5,3.4,22.1,19.6,-0.8,'13-14
434,20,Denver Nuggets,82,36,46,0.439,48.2,104.4,38.4,85.9,44.7,8.6,23.9,35.8,19.1,26.3,72.6,12.3,33.1,45.4,22.4,15.9,7.5,5.6,5.6,23.0,21.7,-2.1,'13-14
435,21,New Orleans Pelicans,82,34,48,0.415,48.4,99.7,37.8,82.5,45.9,5.9,15.9,37.3,18.2,23.6,76.9,11.4,30.3,41.7,21.3,13.8,7.9,6.4,6.1,22.6,20.3,-2.7,'13-14
436,22,Cleveland Cavaliers,82,33,49,0.402,48.6,98.2,37.0,84.8,43.7,7.1,20.0,35.6,17.0,22.7,75.1,12.1,32.1,44.1,21.2,14.2,7.1,3.7,5.6,20.0,19.5,-3.3,'13-14
437,23,Detroit Pistons,82,29,53,0.354,48.2,101.0,38.8,86.9,44.7,6.2,19.3,32.1,17.3,25.7,67.0,14.6,30.8,45.4,20.9,14.5,8.4,4.8,4.9,20.3,20.7,-3.7,'13-14
438,24,Sacramento Kings,82,28,54,0.341,48.4,100.5,36.9,82.5,44.7,6.0,18.0,33.3,20.7,27.3,75.9,12.1,32.4,44.5,18.9,15.2,7.2,3.9,5.6,22.5,23.1,-2.9,'13-14
439,25,Los Angeles Lakers,82,27,55,0.329,48.1,103.0,38.3,85.1,45.0,9.4,24.8,38.1,17.0,22.4,75.7,9.1,32.0,41.0,24.5,15.1,7.5,5.4,4.7,19.8,19.3,-6.3,'13-14
440,26,Boston Celtics,82,25,57,0.305,48.1,96.2,36.5,83.9,43.5,7.0,21.1,33.3,16.2,20.8,77.7,12.0,30.5,42.5,21.0,15.4,7.1,4.2,4.5,21.3,19.1,-4.5,'13-14
441,26,Utah Jazz,82,25,57,0.305,48.2,95.0,36.0,81.1,44.4,6.6,19.2,34.4,16.4,22.0,74.7,11.0,30.2,41.2,20.3,14.6,7.0,4.5,4.9,20.7,20.4,-7.2,'13-14
442,28,Orlando Magic,82,23,59,0.28,48.7,96.5,36.9,82.7,44.5,6.9,19.5,35.3,15.9,20.9,76.3,9.7,32.4,42.0,21.0,14.9,7.7,4.3,5.4,20.5,18.3,-5.4,'13-14
443,29,Philadelphia 76ers,82,19,63,0.232,48.4,99.5,37.9,87.2,43.5,7.0,22.5,31.2,16.6,23.4,71.0,11.6,31.2,42.7,21.8,16.9,9.3,4.0,6.8,22.5,20.6,-10.5,'13-14
444,30,Milwaukee Bucks,82,15,67,0.183,48.5,95.5,36.0,82.2,43.8,6.7,18.9,35.3,16.8,22.5,74.7,11.8,29.3,41.1,21.5,15.1,6.6,4.9,5.0,20.9,20.6,-8.2,'13-14
445,1,Golden State Warriors,82,67,15,0.817,48.1,110.0,41.6,87.0,47.8,10.8,27.0,39.8,16.0,20.8,76.8,10.4,34.3,44.7,27.4,14.5,9.3,6.0,3.6,19.9,18.8,10.1,'14-15
446,2,Atlanta Hawks,82,60,22,0.732,48.1,102.5,38.1,81.7,46.6,10.0,26.2,38.0,16.5,21.2,77.8,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,5.4,'14-15
447,3,Houston Rockets,82,56,26,0.683,48.3,103.9,37.0,83.3,44.4,11.4,32.7,34.8,18.6,26.0,71.5,11.7,32.0,43.7,22.2,16.7,9.5,5.0,5.3,22.0,21.1,3.4,'14-15
448,3,Los Angeles Clippers,82,56,26,0.683,48.1,106.7,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71.0,9.6,33.1,42.6,24.8,12.3,7.8,5.0,3.0,21.3,21.5,6.6,'14-15
449,5,Memphis Grizzlies,82,55,27,0.671,48.5,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,3.2,'14-15
450,5,San Antonio Spurs,82,55,27,0.671,48.7,103.2,39.1,83.6,46.8,8.3,22.5,36.7,16.7,21.4,78.0,9.8,33.8,43.6,24.4,14.0,8.0,5.4,4.4,19.1,19.7,6.2,'14-15
451,7,Cleveland Cavaliers,82,53,29,0.646,48.2,103.1,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43.0,22.1,14.3,7.4,4.1,4.5,18.4,20.5,4.5,'14-15
452,8,Portland Trail Blazers,82,51,31,0.622,48.4,102.8,38.7,86.0,45.0,9.8,27.2,36.2,15.5,19.4,80.1,10.7,35.1,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7,4.2,'14-15
453,9,Chicago Bulls,82,50,32,0.61,48.5,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34.0,45.7,21.7,14.0,6.3,5.8,5.4,18.2,21.2,3.0,'14-15
454,9,Dallas Mavericks,82,50,32,0.61,48.5,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,13.0,8.1,4.5,3.8,20.0,22.1,2.9,'14-15
455,11,Toronto Raptors,82,49,33,0.598,48.4,104.0,37.9,83.3,45.5,8.9,25.1,35.2,19.3,24.6,78.7,10.7,30.8,41.5,20.7,12.9,7.5,4.4,5.0,20.9,20.3,3.1,'14-15
456,12,Washington Wizards,82,46,36,0.561,48.7,98.5,38.3,82.8,46.2,6.1,16.8,36.0,15.9,21.4,74.2,10.5,34.2,44.7,24.0,15.0,7.3,4.6,4.3,20.8,19.6,0.7,'14-15
457,13,New Orleans Pelicans,82,45,37,0.549,48.2,99.4,37.9,82.9,45.7,7.1,19.3,37.0,16.4,21.8,75.1,11.5,32.0,43.5,22.0,13.3,6.7,6.2,5.8,18.7,18.7,0.8,'14-15
458,13,Oklahoma City Thunder,82,45,37,0.549,48.4,104.0,38.8,86.8,44.7,7.7,22.7,33.9,18.6,24.6,75.4,12.8,34.7,47.5,20.5,14.7,7.3,5.5,4.6,22.3,20.4,2.2,'14-15
459,15,Milwaukee Bucks,82,41,41,0.5,48.6,97.8,37.6,82.0,45.9,6.6,18.3,36.3,16.0,21.1,75.7,10.7,31.4,42.1,23.6,16.7,9.6,4.9,4.8,22.1,20.1,0.4,'14-15
460,16,Boston Celtics,82,40,42,0.488,48.5,101.4,38.9,87.9,44.3,8.0,24.6,32.7,15.4,20.5,75.4,11.1,32.7,43.8,24.5,13.8,8.2,3.6,5.3,21.2,18.8,0.2,'14-15
461,17,Phoenix Suns,82,39,43,0.476,48.5,102.4,38.8,85.8,45.2,8.5,25.0,34.1,16.4,21.5,76.0,10.9,32.2,43.2,20.2,15.1,8.5,4.7,4.1,21.3,20.3,-0.9,'14-15
462,18,Brooklyn Nets,82,38,44,0.463,48.6,98.0,37.4,83.0,45.1,6.6,19.9,33.1,16.6,22.2,74.8,10.3,32.0,42.4,20.9,13.8,7.0,4.1,4.5,19.3,20.0,-2.9,'14-15
463,18,Indiana Pacers,82,38,44,0.463,48.4,97.3,36.6,83.2,43.9,7.5,21.2,35.2,16.7,22.2,75.6,10.4,34.4,44.9,21.4,14.0,6.2,4.6,4.7,21.2,21.4,0.3,'14-15
464,18,Utah Jazz,82,38,44,0.463,48.1,95.1,35.4,79.2,44.7,7.4,21.7,34.3,17.0,23.5,72.1,12.0,31.9,44.0,19.9,15.3,7.6,6.0,4.7,19.3,19.6,0.2,'14-15
465,21,Miami Heat,82,37,45,0.451,48.1,94.7,35.2,77.2,45.6,6.8,20.2,33.5,17.5,23.7,74.1,9.1,30.0,39.1,19.8,14.8,7.8,4.5,4.4,20.0,20.9,-2.6,'14-15
466,22,Charlotte Hornets,82,33,49,0.402,48.5,94.2,35.5,84.5,42.0,6.1,19.1,31.8,17.0,22.8,74.8,10.0,34.1,44.1,20.2,11.9,6.1,5.5,5.4,18.2,20.8,-3.2,'14-15
467,23,Detroit Pistons,82,32,50,0.39,48.4,98.5,37.1,85.8,43.2,8.6,24.9,34.4,15.8,22.4,70.3,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,19.0,19.3,-1.0,'14-15
